Date,Close
2022/1/3,144.3
2022/1/4,143.7
2022/1/5,142.92
2022/1/6,143.29
2022/1/7,142.26
2022/1/10,142.61
2022/1/11,143.56
2022/1/12,143.01
2022/1/13,144.28
2022/1/14,142.1
2022/1/18,140.1
2022/1/19,141.07
2022/1/20,141.94
2022/1/21,143.63
2022/1/24,142.45
2022/1/25,142.22
2022/1/26,140.5
2022/1/27,143.08
2022/1/28,143.13
2022/1/31,142.39
2022/2/1,141.72
2022/2/2,142.2
2022/2/3,141.09
2022/2/4,139.01
2022/2/7,139.1
2022/2/8,138.17
2022/2/9,138.43
2022/2/10,136.23
2022/2/11,138.25
2022/2/14,136.53
2022/2/15,134.98
2022/2/16,135.78
2022/2/17,136.79
2022/2/18,138.23
2022/2/22,138.59
2022/2/23,136.68
2022/2/24,136.77
2022/2/25,136.87
2022/2/28,139.87
2022/3/1,141.3
2022/3/2,136.47
2022/3/3,137.86
2022/3/4,140.24
2022/3/7,139.17
2022/3/8,137.77
2022/3/9,136.42
2022/3/10,134.46
2022/3/11,134.91
2022/3/14,131.76
2022/3/15,131.53
2022/3/16,132.82
2022/3/17,131.83
2022/3/18,133.44
2022/3/21,130.35
2022/3/22,128.68
2022/3/23,131.5
2022/3/24,130.47
2022/3/25,128.66
2022/3/28,129.76
2022/3/29,130.74
2022/3/30,131.76
2022/3/31,132.08
2022/4/1,132.38
2022/4/4,131.46
2022/4/5,128.49
2022/4/6,127.45
2022/4/7,126.49
2022/4/8,125.12
2022/4/11,123.14
2022/4/12,122.97
2022/4/13,123.22
2022/4/14,120.75
2022/4/18,120.15
2022/4/19,119.25
2022/4/20,121.65
2022/4/21,120.75
2022/4/22,119.99
2022/4/25,121.19
2022/4/26,122.41
2022/4/27,120.84
2022/4/28,121.02
2022/4/29,119.45
2022/5/2,117.18
2022/5/3,117.97
2022/5/4,118.62
2022/5/5,115.37
2022/5/6,113.67
2022/5/9,114.67
2022/5/10,115.71
2022/5/11,117.94
2022/5/12,117.72
2022/5/13,115.98
2022/5/16,115.86
2022/5/17,114.46
2022/5/18,116.9
2022/5/19,117.18
2022/5/20,118.51
2022/5/23,116.56
2022/5/24,118.86
2022/5/25,119.33
2022/5/26,118.79
2022/5/27,119.08
2022/5/31,116.56
2022/6/1,116.22
2022/6/2,116.28
2022/6/3,116.03
2022/6/6,113.89
2022/6/7,115.12
2022/6/8,114.1
2022/6/9,114.48
2022/6/10,113.77
2022/6/13,110.2
2022/6/14,108.81
2022/6/15,110.84
2022/6/16,111.72
2022/6/17,112.08
2022/6/21,110.18
2022/6/22,113.21
2022/6/23,114.14
2022/6/24,112.56
2022/6/27,111.6
2022/6/28,112.12
2022/6/29,113.87
2022/6/30,114.87
2022/7/1,115.82
2022/7/5,116.73
2022/7/6,114.77
2022/7/7,113.76
2022/7/8,112.5
2022/7/11,114.44
2022/7/12,115.12
2022/7/13,116.44
2022/7/14,115.49
2022/7/15,116.14
2022/7/18,114.93
2022/7/19,114.31
2022/7/20,114.61
2022/7/21,116.59
2022/7/22,118.55
2022/7/25,117.39
2022/7/26,117.48
2022/7/27,116.82
2022/7/28,117.75
2022/7/29,117.43
2022/8/1,120.04
2022/8/2,117.5
2022/8/3,119.35
2022/8/4,119.31
2022/8/5,116.47
2022/8/8,118.35
2022/8/9,117.89
2022/8/10,117.12
2022/8/11,114.39
2022/8/12,115.55
2022/8/15,115.45
2022/8/16,115.93
2022/8/17,114.72
2022/8/18,114.89
2022/8/19,113.04
2022/8/22,112.66
2022/8/23,112.04
2022/8/24,111.22
2022/8/25,112.77
2022/8/26,113.62
2022/8/29,112.68
2022/8/30,112.96
2022/8/31,111.88
2022/9/1,109.6
2022/9/2,110.22
2022/9/6,107.49
2022/9/7,109.19
2022/9/8,108.07
2022/9/9,108.31
2022/9/12,107.42
2022/9/13,107.67
2022/9/14,108.04
2022/9/15,107.97
2022/9/16,107.07
2022/9/19,107.32
2022/9/20,106.25
2022/9/21,108.03
2022/9/22,105.27
2022/9/23,105.7
2022/9/26,103.68
2022/9/27,100.95
2022/9/28,104.33
2022/9/29,103.79
2022/9/30,102.45
2022/10/3,103.83
2022/10/4,103.54
2022/10/5,102.55
2022/10/6,101.98
2022/10/7,100.99
2022/10/10,99.42
2022/10/11,99.86
2022/10/12,100.35
2022/10/13,99.39
2022/10/14,98.57
2022/10/17,98.09
2022/10/18,98.32
2022/10/19,96.53
2022/10/20,94.88
2022/10/21,93.17
2022/10/24,92.4
2022/10/25,95.09
2022/10/26,96.46
2022/10/27,97.47
2022/10/28,96.8
2022/10/31,96.11
2022/11/1,96.77
2022/11/2,96.35
2022/11/3,95.83
2022/11/4,94.22
2022/11/7,93.28
2022/11/8,94.3
2022/11/9,94.61
2022/11/10,98.25
2022/11/11,97.89
2022/11/14,97.65
2022/11/15,99.23
2022/11/16,101.4
2022/11/17,100.33
2022/11/18,99.64
2022/11/21,100.06
2022/11/22,101.48
2022/11/23,103.25
2022/11/25,102.9
2022/11/28,103.19
2022/11/29,101.98
2022/11/30,102.73
2022/12/1,105.76
2022/12/2,107.09
2022/12/5,105.59
2022/12/6,106.95
2022/12/7,109.47
2022/12/8,109.17
2022/12/9,106.33
2022/12/12,106.67
2022/12/13,107.7
2022/12/14,108.16
2022/12/15,108.32
2022/12/16,107.11
2022/12/19,105.31
2022/12/20,103.44
2022/12/21,103.7
2022/12/22,103.68
2022/12/23,102.16
2022/12/27,100.14
2022/12/28,99.55
2022/12/29,100.68
2022/12/30,99.56
2023/1/3,101.46
2023/1/4,102.85
2023/1/5,103.28
2023/1/6,105.18
2023/1/9,105.74
2023/1/10,103.99
2023/1/11,105.68
2023/1/12,107.76
2023/1/13,106.75
2023/1/17,106.06
2023/1/18,108.63
2023/1/19,107.95
2023/1/20,106.2
2023/1/23,105.7
2023/1/24,107.22
2023/1/25,107.48
2023/1/26,106.98
2023/1/27,106.71
2023/1/30,106.32
2023/1/31,107.17
2023/2/1,108.18
2023/2/2,108.32
2023/2/3,106.7
2023/2/6,105.91
2023/2/7,105.06
2023/2/8,105.56
2023/2/9,104.56
2023/2/10,103.39
2023/2/13,104.26
2023/2/14,104.02
2023/2/15,103.05
2023/2/16,101.59
2023/2/17,102.38
2023/2/21,100.39
2023/2/22,101.31
2023/2/23,102.3
2023/2/24,100.97
2023/2/27,101.25
2023/2/28,101.71
2023/3/1,100.37
2023/3/2,99.48
2023/3/3,101.89
2023/3/6,101.1
2023/3/7,101.72
2023/3/8,101.82
2023/3/9,102.07
2023/3/10,105.59
2023/3/13,105.83
2023/3/14,104.09
2023/3/15,106.1
2023/3/16,105.27
2023/3/17,106.85
2023/3/20,105.91
2023/3/21,105
2023/3/22,106.4
2023/3/23,106.4
2023/3/24,106.85
2023/3/27,104.34
2023/3/28,104.53
2023/3/29,104.32
2023/3/30,104.8
2023/3/31,106.37
2023/4/3,106.6
2023/4/4,107.13
2023/4/5,108.25
2023/4/6,108.53
2023/4/10,106.78
2023/4/11,107
2023/4/12,106.89
2023/4/13,106.05
2023/4/14,105.08
2023/4/17,103.83
2023/4/18,104.2
2023/4/19,104.1
2023/4/20,104.99
2023/4/21,104.4
2023/4/24,105.41
2023/4/25,106.96
2023/4/26,105.82
2023/4/27,104.77
2023/4/28,106.46
2023/5/1,103.13
2023/5/2,105.7
2023/5/3,106.29
2023/5/4,105.24
2023/5/5,104.89
2023/5/8,103.42
2023/5/9,103.05
2023/5/10,104.05
2023/5/11,105.15
2023/5/12,104.27
2023/5/15,103.19
2023/5/16,102.88
2023/5/17,102.58
2023/5/18,101.82
2023/5/19,101.1
